time,COM2_State,COM2_Current_Min,COM2_Current_Max,COM2_Current_Avg
1584094056,5,-15.5,15.998046875,-0.00244140625
1584094114,5,-15.5,15.998046875,-0.00244140625
1584099214,5,-15.5,15.998046875,-0.00244140625
1584099276,5,-15.5,15.998046875,-0.00244140625
1584099333,5,-15.5,15.998046875,-0.00244140625
1584099396,5,-15.5,15.998046875,-0.00244140625
1584099453,5,-15.5,15.998046875,-0.00244140625
1584099516,5,-15.5,15.998046875,-0.00244140625
1584099573,5,-15.5,15.998046875,-0.00244140625
1584099636,5,-15.5,15.998046875,-0.00244140625
1584099693,5,-15.5,15.998046875,-0.00244140625
1584099755,5,-15.5,15.998046875,-0.00244140625
1584099818,5,-15.5,15.998046875,-0.00244140625
1584099875,5,-15.5,15.998046875,-0.00244140625
1584099938,5,-15.5,15.998046875,-0.00244140625
1584099995,5,-15.5,15.998046875,-0.00244140625
1584105034,5,-15.5,15.998046875,-0.00244140625
1584105097,5,-15.5,15.998046875,-0.00244140625
1584105154,5,-15.5,15.998046875,-0.00244140625
1584105216,5,-15.5,15.998046875,-0.00244140625
1584105274,5,-15.5,15.998046875,-0.00244140625
1584105336,5,-15.5,15.998046875,-0.00244140625
1584105394,5,-15.5,15.998046875,-0.00244140625
1584105456,5,-15.5,15.998046875,-0.00244140625
1584105514,5,-15.5,15.998046875,-0.00244140625
1584105576,5,-15.5,15.998046875,-0.00244140625
1584105634,5,-15.5,15.998046875,-0.00244140625
1584165996,5,-15.5,15.998046875,-0.00244140625
1584166053,5,-0.0068359375,0.0009765625,-0.00244140625
1584166115,5,-0.0078125,0.001953125,-0.00244140625
1584166178,5,-0.0078125,0.0029296875,-0.00244140625
1584166235,5,-0.0078125,0.0029296875,-0.00244140625
1584166298,5,-0.0078125,0.0029296875,-0.00244140625
1584166355,5,-0.0078125,0.0029296875,-0.00244140625
1584166417,5,-0.0087890625,0.0029296875,-0.00244140625
1584166475,5,-0.0087890625,0.0029296875,-0.00244140625
1584171937,5,-0.009765625,0.00390625,-0.00244140625
1584171994,5,-0.009765625,0.00390625,-0.00244140625
1584172056,5,-0.009765625,0.00390625,-0.00244140625
1584172114,5,-0.009765625,0.00390625,-0.00244140625
1584172176,5,-0.009765625,0.00390625,-0.00244140625
1584172234,5,-0.009765625,0.00390625,-0.00244140625
1584172296,5,-0.009765625,0.00390625,-0.00244140625
1584172354,5,-0.009765625,0.00390625,-0.00244140625
1584172416,5,-0.009765625,0.00390625,-0.00244140625
1584172474,5,-0.009765625,0.00390625,-0.00244140625
1584172536,5,-0.009765625,0.00390625,-0.00244140625
1584172593,5,-0.009765625,0.00390625,-0.00244140625
1584172713,5,-0.009765625,0.00390625,-0.00244140625
1584177756,5,-0.009765625,0.00390625,-0.00244140625
1584177818,5,-0.009765625,0.00390625,-0.00244140625
1584177875,5,-0.0078125,0.001953125,-0.00244140625
1584177938,5,-0.0087890625,0.001953125,-0.00244140625
1584177995,5,-0.0087890625,0.001953125,-0.00244140625
1584178058,5,-0.0087890625,0.001953125,-0.00244140625
1584178115,5,-0.0087890625,0.001953125,-0.00244140625
1584178177,5,-0.0087890625,0.001953125,-0.00244140625
1584178235,5,-0.0087890625,0.001953125,-0.00244140625
1584178297,5,-0.0087890625,0.0029296875,-0.00244140625
1584178355,5,-0.0087890625,0.0029296875,-0.00244140625
1584178417,5,-0.0087890625,0.0029296875,-0.00244140625
1584178475,5,-0.0087890625,0.0029296875,-0.00244140625
1584183695,5,-0.0087890625,0.0029296875,-0.00244140625
1584183758,5,-0.0087890625,0.0029296875,-0.00244140625
1584183815,5,-0.0087890625,0.0029296875,-0.00244140625
1584183877,5,-0.0087890625,0.0029296875,-0.00244140625
1584183935,5,-0.0087890625,0.0029296875,-0.00244140625
1584183997,5,-0.0087890625,0.0029296875,-0.00244140625
1584184055,5,-0.0087890625,0.0029296875,-0.00244140625
1584184117,5,-0.0087890625,0.0029296875,-0.00244140625
1584184175,5,-0.0087890625,0.0029296875,-0.00244140625
1584184237,5,-0.0087890625,0.0029296875,-0.00244140625
1584184294,5,-0.0087890625,0.0029296875,-0.00244140625
1584184357,5,-0.0087890625,0.0029296875,-0.00244140625
1584184414,5,-0.0087890625,0.0029296875,-0.00244140625
1584250416,5,-0.009765625,5.498046875,-0.00244140625
1584250473,5,-0.009765625,5.498046875,-0.00244140625
1584250536,5,-0.009765625,5.498046875,-0.00244140625
1584250593,5,-0.0078125,0.0009765625,-0.00244140625
1584250655,5,-0.0078125,0.001953125,-0.00244140625
1584250713,5,-0.0078125,0.001953125,-0.00244140625
1584250775,5,-0.0078125,0.001953125,-0.00244140625
1584250838,5,-0.0078125,0.001953125,-0.00244140625
1584250895,5,-0.0078125,0.001953125,-0.00244140625
1584250958,5,-0.0078125,0.001953125,-0.00244140625
1584251015,5,-0.0078125,0.001953125,-0.00244140625
1584251077,5,-0.0078125,0.001953125,-0.00244140625
1584251135,5,-0.0078125,0.001953125,-0.00244140625
1584256417,5,-0.0068359375,0.0009765625,-0.00244140625
1584256474,5,-0.0078125,0.0029296875,-0.00244140625
1584256537,5,-0.0078125,0.0029296875,-0.00244140625
1584256594,5,-0.0078125,0.0029296875,-0.00244140625
1584256657,5,-0.0078125,0.0029296875,-0.00244140625
1584256714,5,-0.0078125,0.0029296875,-0.00244140625
1584256776,5,-0.0078125,0.0029296875,-0.00244140625
1584256834,5,-0.0078125,0.0029296875,-0.00244140625
1584256896,5,-0.0078125,0.0029296875,-0.00244140625
