time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1584183997,58,-9,-27,36,-18,-20,60,-11
1584184055,58,-9,-27,36,-19,-20,60,-12
1584184117,58,-10,-27,36,-20,-20,60,-12
1584184175,58,-8,-27,36,-21,-20,60,-13
1584184237,58,-2,-27,36,-21,-20,60,-13
1584184294,58,4,-27,36,-22,-20,60,-13
1584184357,58,9,-27,36,-22,-20,60,-14
1584184414,58,13,-27,36,-18,-20,60,-14
1584250416,58,14,-27,36,-13,-20,60,-14
1584250473,73,5,-27,36,-4,-20,60,8
1584250536,73,4,-27,36,-5,-20,60,7
1584250593,73,3,-27,36,-7,-20,60,5
1584250655,73,2,-27,36,-8,-20,60,4
1584250713,73,2,-27,36,-9,-20,60,2
1584250775,73,1,-27,36,-10,-20,60,1
1584250833,73,0,-27,36,-11,-20,60,0
1584250895,73,-1,-27,36,-12,-20,60,-1
1584250953,73,-2,-27,36,-13,-20,60,-2
1584251015,73,-3,-27,36,-14,-20,60,-3
1584251073,73,-5,-27,36,-15,-20,60,-4
1584251135,73,-5,-27,36,-16,-20,60,-4
1584256369,73,-6,-27,36,-18,-20,60,-6
1584256417,73,-1,-27,36,-11,-20,60,2
1584256474,73,-2,-27,36,-12,-20,60,0
1584256537,73,-2,-27,36,-13,-20,60,-1
1584256594,73,-3,-27,36,-14,-20,60,-2
1584256657,73,-4,-27,36,-15,-20,60,-3
1584256714,73,-5,-27,36,-16,-20,60,-4
1584256776,73,-6,-27,36,-16,-20,60,-5
1584256834,73,-6,-27,36,-17,-20,60,-6
1584256896,73,-8,-27,36,-18,-20,60,-6
1584257016,73,-8,-27,36,-19,-20,60,-8
1584267995,73,3,-27,36,-13,-20,60,-9
1584268056,73,1,-27,36,-14,-20,60,-9
1584268113,73,0,-27,36,-15,-20,60,-9
1584268175,73,-2,-27,36,-16,-20,60,-9
1584268233,73,-3,-27,36,-17,-20,60,-10
1584268295,73,-4,-27,36,-18,-20,60,-10
1584268353,73,-5,-27,36,-18,-20,60,-10
1584268415,73,-7,-27,36,-19,-20,60,-11
1584268473,73,-8,-27,36,-20,-20,60,-11
1584268535,73,-9,-27,36,-20,-20,60,-12
1584268597,73,-9,-27,36,-21,-20,60,-12
1584268655,73,-11,-27,36,-22,-20,60,-12
1584268717,73,-11,-27,36,-23,-20,60,-12
1584334893,73,-4,-27,36,3,-20,60,28
1584334956,73,-5,-27,36,1,-20,60,25
1584335013,73,-6,-27,36,0,-20,60,23
1584335076,73,-6,-27,36,-2,-20,60,21
1584335133,73,-7,-27,36,-4,-20,60,18
1584335196,73,-7,-27,36,-5,-20,60,16
1584335253,73,-8,-27,36,-6,-20,60,14
1584335316,73,-9,-27,36,-7,-20,60,12
1584335373,73,-9,-27,36,-8,-20,60,11
1584335435,73,-9,-27,36,-10,-20,60,9
1584335493,73,-10,-27,36,-11,-20,60,7
1584340717,73,27,-27,36,-1,-20,60,-3
1584340775,73,23,-27,36,-3,-20,60,-4
1584340837,73,21,-27,36,-4,-20,60,-4
1584340894,73,19,-27,36,-5,-20,60,-5
1584340957,73,17,-27,36,-7,-20,60,-5
1584341077,73,12,-27,36,-9,-20,60,-6
