time,Panel_1_Power_Avg,Panel_2_Power_Avg,Panel_3_Power_Avg
1580621958,2.04071044921875,2.80792236328125,2.8436279296875
1580622022,2.9718017578125,1.14166259765625,2.02239990234375
1580622086,2.95166015625,2.32177734375,1.73583984375
1580622150,2.32269287109375,2.6385498046875,2.57720947265625
1580622214,1.07025146484375,2.02239990234375,3.07159423828125
1580622278,3.1146240234375,1.2322998046875,1.80450439453125
1580622342,2.6495361328125,2.2796630859375,1.34857177734375
1580622406,2.36480712890625,2.37030029296875,2.57904052734375
1580622470,0.6756591796875,2.05352783203125,3.0889892578125
1580622534,3.09906005859375,1.38427734375,1.842041015625
1580622598,2.81982421875,2.65869140625,1.3861083984375
1580622662,2.3419189453125,2.3345947265625,2.7777099609375
1580622726,1.35040283203125,2.11944580078125,2.89215087890625
1580622790,2.9608154296875,1.42181396484375,1.41815185546875
1580622918,0.06866455078125,1.20758056640625,1.75140380859375
1580622982,0.0714111328125,1.44561767578125,1.60858154296875
1580623046,0.0714111328125,2.45086669921875,0.7891845703125
1580623110,0.06683349609375,2.27142333984375,2.21649169921875
1580623174,0.06591796875,1.09039306640625,2.10296630859375
1580623238,0.069580078125,1.3037109375,0.9246826171875
1580623302,0.07049560546875,2.33642578125,0.80108642578125
1580623366,0.06866455078125,2.215576171875,1.951904296875
1580623430,0.06591796875,1.81365966796875,1.77520751953125
1580623494,0.07049560546875,1.2835693359375,0.7891845703125
1580623558,0.0714111328125,2.44171142578125,0.673828125
1580623622,0.0677490234375,2.1258544921875,1.70379638671875
1580623814,0.069580078125,2.29156494140625,0.589599609375
1580623878,0.0604248046875,2.27508544921875,2.120361328125
1580623942,0.0604248046875,0.509033203125,0.82855224609375
1580624006,0.23162841796875,2.2686767578125,0.74615478515625
1580624262,2.37945556640625,2.138671875,0.5438232421875
1580624326,0.04119873046875,2.59002685546875,2.30987548828125
1580624390,0.040283203125,1.842041015625,0.05126953125
1580624454,0.0311279296875,0.04302978515625,1.96746826171875
1580624518,0.0421142578125,1.39434814453125,1.2872314453125
1580624582,0.02105712890625,2.57904052734375,2.5579833984375
1580624646,0.02197265625,0.010986328125,0.029296875
1580624710,0.0,0.0,0.0
1580625286,0.0,0.0,0.0
1580625350,0.0,0.0,0.0
1580625414,0.0,0.0,0.0
1580625478,0.0,0.0,0.0
1580625542,0.0,0.0,0.0
1580626054,0.0,0.0,0.0
1580626118,0.0,0.0,0.0
1580626182,0.0,0.0,0.0
1580626246,0.0,0.0,0.0
1580626310,0.0,0.0,0.0
1580626374,0.0,0.0,0.0
1580626438,0.0,0.0,0.0
1580626502,0.0,0.0,0.0
1580626566,0.0,0.0,0.0
1580626630,0.0,0.0,0.0
1580626694,0.0,0.0,0.0
1580626758,2.28607177734375,1.728515625,1.73583984375
1580626822,2.625732421875,1.0858154296875,0.040283203125
1580626886,2.01324462890625,1.66351318359375,2.32269287109375
1580626950,0.00823974609375,1.1846923828125,3.30413818359375
1580627014,2.23297119140625,2.0928955078125,1.91436767578125
