time,Status,Control,Last_Charge_Time
1580698280,0x0,0x0,0.0
1580698337,0x0,0x0,0.0
1580698409,0x0,0x0,0.0
1580698467,0x0,0x0,0.0
1580698524,0x0,0x0,0.0
1580699071,0x0,0x0,0.0
1580699186,0x0,0x0,0.0
1580702062,0x0,0x0,0.0
1580702177,0x0,0x0,0.0
1580702249,0x0,0x0,0.0
1580702306,0x0,0x0,0.0
1580702608,0x0,0x0,0.0
1580702666,0x0,0x0,0.0
1580703385,0x0,0x0,0.0
1580703442,0x0,0x0,0.0
1580703500,0x0,0x0,0.0
1580703557,0x0,0x0,0.0
1580703629,0x0,0x0,0.0
1580703687,0x0,0x0,0.0
1580703744,0x0,0x0,0.0
1580703802,0x0,0x0,0.0
1580703859,0x0,0x0,0.0
1580703917,0x0,0x0,0.0
1580703989,0x0,0x0,0.0
1580704046,0x0,0x0,0.0
1580707526,0x0,0x0,0.0
1580707943,0x0,0x0,0.0
1580708188,0x0,0x0,0.0
1580708245,0x0,0x0,0.0
1580708418,0x0,0x0,0.0
1580708547,0x0,0x0,0.0
1580708605,0x0,0x0,0.0
1580709267,0x0,0x0,0.0
1580709324,0x0,0x0,0.0
1580709382,0x0,0x0,0.0
1580709439,0x0,0x0,0.0
1580709497,0x0,0x0,0.0
1580709569,0x0,0x0,0.0
1580714242,0x0,0x0,0.0
1580714300,0x0,0x0,0.0
1580718988,0x0,0x0,0.0
1580719046,0x0,0x0,0.0
1580719103,0x0,0x0,0.0
1580720009,0x0,0x0,0.0
1580720067,0x0,0x0,0.0
1580720182,0x0,0x0,0.0
1580720239,0x0,0x0,0.0
1580720297,0x0,0x0,0.0
1580720484,0x0,0x0,0.0
1580720541,0x0,0x0,0.0
1580724870,0x0,0x0,0.0
1580724927,0x0,0x0,0.0
1580724985,0x0,0x0,0.0
1580725100,0x0,0x0,0.0
1580725157,0x0,0x0,0.0
1580725229,0x0,0x0,0.0
1580725891,0x0,0x0,0.0
1580725948,0x0,0x0,0.0
1580726006,0x0,0x0,0.0
1580726063,0x0,0x0,0.0
1580726121,0x0,0x0,0.0
1580726178,0x0,0x0,0.0
1580726250,0x0,0x0,0.0
1580726308,0x0,0x0,0.0
1580726365,0x0,0x0,0.0
1580726480,0x0,0x0,0.0
1580729127,0x0,0x0,0.0
1580729184,0x0,0x0,0.0
1580729242,0x0,0x0,0.0
1580729299,0x0,0x0,0.0
1580729357,0x0,0x0,0.0
1580729486,0x0,0x0,0.0
1580730450,0x0,0x0,0.0
1580730507,0x0,0x0,0.0
1580730622,0x0,0x0,0.0
1580730680,0x0,0x0,0.0
1580730809,0x0,0x0,0.0
1580730867,0x0,0x0,0.0
1580730924,0x0,0x0,0.0
1580731039,0x0,0x0,0.0
1580731097,0x0,0x0,0.0
1580731169,0x0,0x0,0.0
1580731758,0x0,0x0,0.0
1580731830,0x0,0x0,0.0
1580731888,0x0,0x0,0.0
1580731945,0x0,0x0,0.0
1580732003,0x0,0x0,0.0
1580732060,0x0,0x0,0.0
1580732118,0x0,0x0,0.0
1580732247,0x0,0x0,0.0
1580732305,0x0,0x0,0.0
1580735008,0x0,0x0,0.0
1580735066,0x0,0x0,0.0
1580735123,0x0,0x0,0.0
1580735181,0x0,0x0,0.0
1580735238,0x0,0x0,0.0
1580736446,0x0,0x0,0.0
1580736504,0x0,0x0,0.0
1580736561,0x0,0x0,0.0
1580736619,0x0,0x0,0.0
1580736677,0x0,0x0,0.0
1580736748,0x0,0x0,0.0
1580736806,0x0,0x0,0.0
1580736863,0x0,0x0,0.0
1580736979,0x0,0x0,0.0
1580742141,0x0,0x0,0.0
1580742199,0x0,0x0,0.0
1580742271,0x0,0x0,0.0
1580742328,0x0,0x0,0.0
1580742443,0x0,0x0,0.0
1580743277,0x0,0x0,0.0
1580743407,0x0,0x0,0.0
1580743522,0x0,0x0,0.0
1580744600,0x0,0x0,0.0
1580744658,0x0,0x0,0.0
1580744730,0x0,0x0,0.0
1580747247,0x0,0x0,0.0
1580747304,0x0,0x0,0.0
1580747362,0x0,0x0,0.0
1580747419,0x0,0x0,0.0
1580747966,0x0,0x0,0.0
1580748023,0x0,0x0,0.0
1580748081,0x0,0x0,0.0
1580748138,0x0,0x0,0.0
1580748210,0x0,0x0,0.0
1580748268,0x0,0x0,0.0
1580748325,0x0,0x0,0.0
1580748383,0x0,0x0,0.0
1580748440,0x0,0x0,0.0
1580748498,0x0,0x0,0.0
1580748570,0x0,0x0,0.0
1580748627,0x0,0x0,0.0
