time,Phase,Source,Last_BDot_X,Last_BDot_Y,Last_BDot_Z,Last_FSW_X,Last_FSW_Y,Last_FSW_Z
1584847799,Measurement,BDot,0,0,0,0,0,0
1584847804,Actuation,BDot,0,0,0,0,0,0
1584847809,Actuation,BDot,0,0,0,0,0,0
1584847813,Actuation,BDot,0,0,0,0,0,0
1584847818,Measurement,BDot,0,0,0,0,0,0
1584847823,Measurement,BDot,0,0,0,0,0,0
1584847828,Measurement,BDot,0,0,0,0,0,0
1584847837,Actuation,BDot,0,0,0,0,0,0
1584847842,Actuation,BDot,0,0,0,0,0,0
1584847852,Measurement,BDot,0,0,0,0,0,0
1584847856,Measurement,BDot,0,0,0,0,0,0
1584847861,Actuation,BDot,0,0,0,0,0,0
1584847866,Actuation,BDot,0,0,0,0,0,0
1584847871,Actuation,BDot,0,0,0,0,0,0
1584847876,Measurement,BDot,0,0,0,0,0,0
1584847880,Measurement,BDot,0,0,0,0,0,0
1584847885,Measurement,BDot,0,0,0,0,0,0
1584847890,Actuation,BDot,0,0,0,0,0,0
1584847900,Actuation,BDot,0,0,0,0,0,0
1584847904,Actuation,BDot,0,0,0,0,0,0
1584847909,Measurement,BDot,0,0,0,0,0,0
1584847914,Actuation,BDot,0,0,0,0,0,0
1584847919,Actuation,BDot,0,0,0,0,0,0
1584847924,Actuation,BDot,0,0,0,0,0,0
1584847928,Actuation,BDot,0,0,0,0,0,0
1584847933,Measurement,BDot,0,0,0,0,0,0
1584847938,Measurement,BDot,0,0,0,0,0,0
1584847943,Actuation,BDot,0,0,0,0,0,0
1584847948,Actuation,BDot,0,0,0,0,0,0
1584847957,Measurement,BDot,0,0,0,0,0,0
1584847962,Measurement,BDot,0,0,0,0,0,0
1584847967,Measurement,BDot,0,0,0,0,0,0
1584847972,Actuation,BDot,0,0,0,0,0,0
1584847976,Actuation,BDot,0,0,0,0,0,0
1584847981,Actuation,BDot,0,0,0,0,0,0
1584847986,Measurement,BDot,0,0,0,0,0,0
1584847991,Measurement,BDot,0,0,0,0,0,0
1584847996,Measurement,BDot,0,0,0,0,0,0
1584848000,Actuation,BDot,0,0,0,0,0,0
1584848005,Actuation,BDot,0,0,0,0,0,0
1584848010,Actuation,BDot,0,0,0,0,0,0
1584848020,Measurement,BDot,0,0,0,0,0,0
1584848024,Actuation,BDot,0,0,0,0,0,0
1584848029,Actuation,BDot,0,0,0,0,0,0
1584848034,Actuation,BDot,0,0,0,0,0,0
1584848039,Actuation,BDot,0,0,0,0,0,0
1584848043,Measurement,BDot,0,0,0,0,0,0
1584848048,Measurement,BDot,0,0,0,0,0,0
1584848053,Measurement,BDot,0,0,0,0,0,0
1584848058,Actuation,BDot,0,0,0,0,0,0
1584848063,Actuation,BDot,0,0,0,0,0,0
1584848067,Actuation,BDot,0,0,0,0,0,0
1584848077,Measurement,BDot,0,0,0,0,0,0
1584848082,Measurement,BDot,0,0,0,0,0,0
1584848087,Actuation,BDot,0,0,0,0,0,0
1584848091,Actuation,BDot,0,0,0,0,0,0
1584848096,Actuation,BDot,0,0,0,0,0,0
1584848101,Measurement,BDot,0,0,0,0,0,0
1584848106,Measurement,BDot,0,0,0,0,0,0
1584848111,Measurement,BDot,0,0,0,0,0,0
1584848120,Actuation,BDot,0,0,0,0,0,0
1584848125,Actuation,BDot,0,0,0,0,0,0
1584848130,Measurement,BDot,0,0,0,0,0,0
1584848139,Measurement,BDot,0,0,0,0,0,0
1584848144,Measurement,BDot,0,0,0,0,0,0
1584848149,Actuation,BDot,0,0,0,0,0,0
1584848154,Actuation,BDot,0,0,0,0,0,0
1584848159,Measurement,BDot,0,0,0,0,0,0
1584848163,Measurement,BDot,0,0,0,0,0,0
1584848168,Measurement,BDot,0,0,0,0,0,0
1584848173,Actuation,BDot,0,0,0,0,0,0
1584848183,Actuation,BDot,0,0,0,0,0,0
1584853349,Measurement,BDot,0,0,0,0,0,0
1584853365,Measurement,BDot,0,0,0,0,0,0
1584853366,Measurement,BDot,0,0,0,0,0,0
1584853370,Measurement,BDot,0,0,0,0,0,0
1584853375,Measurement,BDot,0,0,0,0,0,0
1584853380,Actuation,BDot,0,0,0,0,0,0
1584853384,Actuation,BDot,0,0,0,0,0,0
1584853389,Actuation,BDot,0,0,0,0,0,0
1584853394,Measurement,BDot,0,0,0,0,0,0
1584853399,Measurement,BDot,0,0,0,0,0,0
1584853404,Measurement,BDot,0,0,0,0,0,0
1584853423,Actuation,BDot,0,0,0,0,0,0
1584853432,Measurement,BDot,0,0,0,0,0,0
1584853437,Actuation,BDot,0,0,0,0,0,0
1584853442,Actuation,BDot,0,0,0,0,0,0
1584853447,Actuation,BDot,0,0,0,0,0,0
1584853452,Measurement,BDot,0,0,0,0,0,0
1584853456,Measurement,BDot,0,0,0,0,0,0
1584853461,Measurement,BDot,0,0,0,0,0,0
1584853466,Actuation,BDot,0,0,0,0,0,0
1584853471,Actuation,BDot,0,0,0,0,0,0
1584853480,Measurement,BDot,0,0,0,0,0,0
1584853485,Actuation,BDot,0,0,0,0,0,0
1584853490,Measurement,BDot,0,0,0,0,0,0
1584853495,Actuation,BDot,0,0,0,0,0,0
1584853499,Actuation,BDot,0,0,0,0,0,0
1584853504,Actuation,BDot,0,0,0,0,0,0
1584853509,Measurement,BDot,0,0,0,0,0,0
1584853538,Measurement,BDot,0,0,0,0,0,0
1584853543,Measurement,BDot,0,0,0,0,0,0
1584853547,Measurement,BDot,0,0,0,0,0,0
1584853552,Actuation,BDot,0,0,0,0,0,0
1584853557,Actuation,BDot,0,0,0,0,0,0
1584853562,Actuation,BDot,0,0,0,0,0,0
1584853567,Measurement,BDot,0,0,0,0,0,0
1584853571,Measurement,BDot,0,0,0,0,0,0
1584853576,Actuation,BDot,0,0,0,0,0,0
1584853581,Actuation,BDot,0,0,0,0,0,0
1584853586,Actuation,BDot,0,0,0,0,0,0
1584853591,Actuation,BDot,0,0,0,0,0,0
1584853600,Measurement,BDot,0,0,0,0,0,0
1584853605,Measurement,BDot,0,0,0,0,0,0
1584853610,Actuation,BDot,0,0,0,0,0,0
1584853615,Actuation,BDot,0,0,0,0,0,0
1584853619,Measurement,BDot,0,0,0,0,0,0
1584853624,Measurement,BDot,0,0,0,0,0,0
1584853629,Measurement,BDot,0,0,0,0,0,0
1584853634,Actuation,BDot,0,0,0,0,0,0
1584853639,Actuation,BDot,0,0,0,0,0,0
1584853643,Actuation,BDot,0,0,0,0,0,0
1584853648,Measurement,BDot,0,0,0,0,0,0
1584853658,Measurement,BDot,0,0,0,0,0,0
1584853663,Measurement,BDot,0,0,0,0,0,0
1584853667,Actuation,BDot,0,0,0,0,0,0
1584853672,Actuation,BDot,0,0,0,0,0,0
1584853677,Measurement,BDot,0,0,0,0,0,0
1584853682,Measurement,BDot,0,0,0,0,0,0
1584853687,Measurement,BDot,0,0,0,0,0,0
1584853691,Actuation,BDot,0,0,0,0,0,0
1584853696,Actuation,BDot,0,0,0,0,0,0
1584853701,Actuation,BDot,0,0,0,0,0,0
1584853706,Measurement,BDot,0,0,0,0,0,0
1584853710,Measurement,BDot,0,0,0,0,0,0
1584853720,Actuation,BDot,0,0,0,0,0,0
1584853725,Measurement,BDot,0,0,0,0,0,0
1584853730,Actuation,BDot,0,0,0,0,0,0
1584853734,Measurement,BDot,0,0,0,0,0,0
1584853739,Measurement,BDot,0,0,0,0,0,0
1584853744,Measurement,BDot,0,0,0,0,0,0
1584853749,Actuation,BDot,0,0,0,0,0,0
1584853754,Actuation,BDot,0,0,0,0,0,0
1584853758,Actuation,BDot,0,0,0,0,0,0
1584853763,Measurement,BDot,0,0,0,0,0,0
1584853768,Measurement,BDot,0,0,0,0,0,0
1584853778,Actuation,BDot,0,0,0,0,0,0
1584853782,Actuation,BDot,0,0,0,0,0,0
1584853787,Actuation,BDot,0,0,0,0,0,0
1584853792,Measurement,BDot,0,0,0,0,0,0
1584853797,Measurement,BDot,0,0,0,0,0,0
1584853802,Measurement,BDot,0,0,0,0,0,0
1584853806,Actuation,BDot,0,0,0,0,0,0
1584853811,Actuation,BDot,0,0,0,0,0,0
1584853816,Actuation,BDot,0,0,0,0,0,0
1584853821,Measurement,BDot,0,0,0,0,0,0
1584853826,Measurement,BDot,0,0,0,0,0,0
1584853830,Measurement,BDot,0,0,0,0,0,0
1584853840,Actuation,BDot,0,0,0,0,0,0
1584853845,Measurement,BDot,0,0,0,0,0,0
1584853850,Measurement,BDot,0,0,0,0,0,0
1584853854,Measurement,BDot,0,0,0,0,0,0
1584853859,Measurement,BDot,0,0,0,0,0,0
1584853864,Actuation,BDot,0,0,0,0,0,0
1584853869,Actuation,BDot,0,0,0,0,0,0
1584853874,Actuation,BDot,0,0,0,0,0,0
1584853878,Measurement,BDot,0,0,0,0,0,0
1584853883,Measurement,BDot,0,0,0,0,0,0
1584853888,Measurement,BDot,0,0,0,0,0,0
1584853897,Actuation,BDot,0,0,0,0,0,0
1584853902,Actuation,BDot,0,0,0,0,0,0
1584853907,Measurement,BDot,0,0,0,0,0,0
1584853912,Measurement,BDot,0,0,0,0,0,0
1584853917,Measurement,BDot,0,0,0,0,0,0
1584853921,Actuation,BDot,0,0,0,0,0,0
1584853926,Actuation,BDot,100,0,0,0,0,0
1584853931,Actuation,BDot,100,0,0,0,0,0
1584853936,Measurement,BDot,100,0,0,0,0,0
1584853941,Measurement,BDot,100,0,0,0,0,0
1584853945,Measurement,BDot,100,0,0,0,0,0
1584853950,Actuation,BDot,100,0,0,0,0,0
1584853960,Actuation,BDot,100,0,0,0,0,0
1584853965,Actuation,BDot,100,0,0,0,0,0
1584853969,Measurement,BDot,100,0,0,0,0,0
1584853974,Actuation,BDot,100,0,0,0,0,0
1584853979,Actuation,BDot,100,0,0,0,0,0
1584853984,Actuation,BDot,100,0,0,0,0,0
1584853989,Actuation,BDot,100,0,0,0,0,0
1584853993,Measurement,BDot,100,0,0,0,0,0
1584853998,Measurement,BDot,100,0,0,0,0,0
1584854003,Actuation,BDot,100,0,0,0,0,0
1584854008,Actuation,BDot,100,0,0,0,0,0
1584854017,Measurement,BDot,100,0,0,0,0,0
