time,X,Y,Z
1585023003,0,0,0
1585023008,0,0,0
1585023013,0,0,0
1585023018,0,0,0
1587416071,0,0,0
1587416072,0,0,0
1587416076,0,0,0
1587416081,0,0,0
1587416085,0,0,0
1587416090,0,0,0
1587416095,0,0,0
1587416100,0,0,0
1587416109,0,0,0
1587416114,0,0,0
1587416119,0,0,0
1587416124,0,0,0
1587416129,0,0,0
1587416133,0,0,0
1587416138,0,0,0
1587416143,0,0,0
1587416148,0,0,0
1587416153,0,0,0
1587416157,0,0,0
1587416162,0,0,0
1587416172,0,0,0
1587416177,0,0,0
1587416181,0,0,0
1587416186,0,0,0
1587416191,0,0,0
1587416196,0,0,0
1587416201,0,0,0
1587416205,0,0,0
1587416210,0,0,0
1587416215,0,0,0
1587416220,0,0,0
1587416229,0,0,0
1587416234,0,0,0
1587416239,0,0,0
1587416244,0,0,0
1587416249,0,0,0
1587416253,0,0,0
1587416258,0,0,0
1587416263,0,0,0
1587416268,0,0,0
1587416272,0,0,0
1587416277,0,0,0
1587416282,0,0,0
1587416292,0,0,0
1587416296,0,0,0
1587416301,0,0,0
1587416306,0,0,0
1587416311,0,0,0
1587416316,0,0,0
1587416320,0,0,0
1587416325,0,0,0
1587416330,0,0,0
1587416335,0,0,0
1587416340,0,0,0
1587416349,0,0,0
1587416354,0,0,0
1587416359,0,0,0
1587416364,0,0,0
1587416368,0,0,0
1587416373,0,0,0
1587416378,0,0,0
1587416383,0,0,0
1587416388,0,0,0
1587416392,0,0,0
1587416397,0,0,0
1587416402,0,0,0
1587416412,0,0,0
1587416416,0,0,0
1587416421,0,0,0
1587416426,0,0,0
1587416431,0,0,0
1587416436,0,0,0
1587416440,0,0,0
1587416445,0,0,0
1587416450,0,0,0
1587416455,0,0,0
1587416459,0,0,0
1587416469,0,0,0
1587416474,0,0,0
1587416479,0,0,0
1587416483,0,0,0
1587416488,0,0,0
1587416493,0,0,0
1587416498,0,0,0
1587416503,0,0,0
1587416507,0,0,0
1587416512,0,0,0
1587416517,0,0,0
1587416522,6,8,-3
1587416531,55,33,-11
1587416536,84,44,-15
1587416541,67,26,-10
1587416546,69,18,-7
1587416551,18,3,-2
1587416555,82,3,-2
1587416560,70,0,-2
1587416565,61,-12,-1
1587416570,59,-17,0
1587416575,60,-19,2
1587416579,69,-31,6
1587416589,35,-22,7
1587416594,36,-25,5
1587416599,25,-22,4
1587416603,20,-13,9
1587416608,0,0,0
1587416613,0,0,0
1587416618,0,0,0
1587416623,0,0,0
1587416627,0,0,0
1587416632,0,0,0
1587416637,0,0,0
1587416642,0,0,0
1587416651,0,0,0
1587416656,0,0,0
1587759741,0,0,0
1587759742,0,0,0
1587759746,0,0,0
1587759750,0,0,0
1587759755,0,0,0
1587759760,0,0,0
1587759765,0,0,0
1587759770,0,0,0
1587759774,0,0,0
1587759779,0,0,0
1587759789,0,0,0
1587759794,0,0,0
1587759798,0,0,0
1587759803,0,0,0
1587759808,0,0,0
1587759813,0,0,0
1587759818,0,0,0
1587759822,0,0,0
1587759827,0,0,0
1587759832,0,0,0
1587759837,0,0,0
1587759842,0,0,0
1587759851,0,0,0
1587759856,0,0,0
1587759861,0,0,0
1587759866,0,0,0
1587759870,0,0,0
1587759875,0,0,0
1587759880,0,0,0
1587759885,0,0,0
1587759890,0,0,0
1587759899,0,0,0
1587759909,0,0,0
1587759914,0,0,0
1587759923,0,0,0
1587759928,0,0,0
1587759933,0,0,0
1587759937,0,0,0
1587759942,0,0,0
1587759947,0,0,0
1587759952,0,0,0
1587759957,0,0,0
1587759961,0,0,0
1587759971,0,0,0
1587759976,0,0,0
1587759985,0,0,0
1587759990,0,0,0
1587759995,0,0,0
1587760000,0,0,0
1587760005,0,0,0
1587760009,0,0,0
1587760014,0,0,0
1587760019,0,0,0
1587760029,0,0,0
1587760033,0,0,0
1587760038,0,0,0
1587760043,0,0,0
1587760048,0,0,0
1587760053,0,0,0
1587760057,0,0,0
1587760062,0,0,0
1587760067,0,0,0
1587760072,0,0,0
1587760077,0,0,0
1587760081,0,0,0
1587760091,0,0,0
1587760096,0,0,0
1587760101,0,0,0
1587760105,0,0,0
1587760110,0,0,0
1587760115,0,0,0
1587760120,0,0,0
1587760125,0,0,0
1587760129,0,0,0
1587760134,0,0,0
1587760139,0,0,0
1587760153,0,0,0
1587760158,0,0,0
1587760163,0,0,0
1587760168,0,0,0
1587760173,0,0,0
1587760177,0,0,0
1587760182,0,0,0
1587760187,0,0,0
1587760192,0,0,0
1587760196,0,0,0
1587760201,0,0,0
1587760211,0,0,0
1587760216,0,0,0
1587760220,0,0,0
1587760225,0,0,0
1587760230,0,0,0
1587760235,0,0,0
1587760240,0,0,0
1587760244,0,0,0
1587760249,0,0,0
1587760254,0,0,0
1587760259,0,0,0
1587760273,0,0,0
1587760278,0,0,0
1587760283,0,0,0
1587760288,0,0,0
1587760292,0,0,0
1587760297,0,0,0
1587760302,0,0,0
1587760307,0,0,0
1587760312,0,0,0
1587760316,0,0,0
1587760321,0,0,0
1587760331,0,0,0
1587760336,0,0,0
1587760340,0,0,0
1587760345,100,0,0
1587760350,100,0,0
1587760355,100,0,0
1587760360,100,0,0
