time,SPAM_Off_Z_MTQ_X,SPAM_OFF_Z_MTQ_Y,SPAM_OFF_Z_MTQ_Z,Dipole_Gain_Y,Dipole_Gain_Z
1585503305,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585503477,-1.3287671232876712,-5.3561643835616435,1.8630136986301369,1.0,1.0
1585506598,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506670,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506727,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506785,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506843,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506900,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585506958,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585507030,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585507087,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585507202,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585507260,-5.027397260273973,-4.890410958904109,-2.712328767123288,1.0,1.0
1585509057,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585509187,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585509244,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585509359,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585509417,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511588,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511646,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511704,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511761,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511819,1.3013698630136987,-9.931506849315069,1.8493150684931507,1.0,1.0
1585511948,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512006,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512063,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
1585512480,-3.410958904109589,-7.739726027397261,2.0273972602739727,1.0,1.0
