time,X1,Y1,G1,G2,G3,G4,G5,G6,G7,G8,G9,GA,Checksum
1582573419,6,6,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xe8
1582573424,10,30,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x51
1582573429,14,34,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x91
1582573434,18,48,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xe5
1582573438,22,52,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x26
1582573443,27,2,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8
1582573448,31,26,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x70
1582573453,35,20,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x9c
1582573458,39,44,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x5
1582573462,43,48,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x45
1582573467,48,8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x3b
1582573472,52,12,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x7b
1582573477,56,36,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xe3
1582573481,60,40,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x24
1582573486,64,34,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x50
1582573491,68,58,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xb8
1582573496,72,62,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xf8
1582573501,77,22,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0xee
