time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587585589,3.3000000000000003,3.516,3.428
1587585646,3.3000000000000003,3.516,3.44
1587585704,3.3000000000000003,3.516,3.464
1587585762,3.3000000000000003,3.516,3.48
1587585833,3.3000000000000003,3.516,3.452
1587585891,3.3000000000000003,3.516,3.412
1587585949,3.3000000000000003,3.516,3.388
1587590752,3.3000000000000003,3.516,3.376
1587590809,3.3000000000000003,3.516,3.372
1587590867,3.3000000000000003,3.516,3.372
1587590924,3.3000000000000003,3.516,3.38
1587590982,3.3000000000000003,3.516,3.38
1587591054,3.3000000000000003,3.516,3.392
1587591111,3.3000000000000003,3.516,3.408
1587591169,3.3000000000000003,3.516,3.408
1587591227,3.3000000000000003,3.516,3.416
1587596634,3.3000000000000003,3.516,3.388
1587596749,3.3000000000000003,3.516,3.42
1587596806,3.3000000000000003,3.516,3.436
1587596864,3.3000000000000003,3.516,3.448
1587596922,3.3000000000000003,3.516,3.416
1587596993,3.3000000000000003,3.516,3.392
1587597108,3.3000000000000003,3.516,3.364
1587601667,3.3000000000000003,3.516,3.36
1587602573,3.3000000000000003,3.516,3.372
1587607492,3.3000000000000003,3.516,3.348
1587607722,3.3000000000000003,3.516,3.38
1587613431,3.3000000000000003,3.516,3.38
1587613489,3.3000000000000003,3.516,3.404
1587613546,3.3000000000000003,3.516,3.424
1587613791,3.3000000000000003,3.516,3.396
1587619126,3.3000000000000003,3.516,3.428
1587619256,3.3000000000000003,3.516,3.4
1587619313,3.3000000000000003,3.516,3.384
1587619371,3.3000000000000003,3.516,3.388
1587619428,3.3000000000000003,3.516,3.396
1587619486,3.3000000000000003,3.516,3.412
1587623627,3.3000000000000003,3.516,3.368
1587623685,3.3000000000000003,3.516,3.368
1587623742,3.3000000000000003,3.516,3.364
1587623872,3.3000000000000003,3.516,3.352
1587623929,3.3000000000000003,3.516,3.348
1587626446,3.3000000000000003,3.516,3.392
1587629567,3.3000000000000003,3.516,3.3280000000000003
1587629624,3.3000000000000003,3.516,3.3280000000000003
1587629682,3.3000000000000003,3.516,3.34
1587629811,3.3000000000000003,3.516,3.352
1587629869,3.3000000000000003,3.516,3.356
1587629926,3.3000000000000003,3.516,3.364
1587631969,3.3000000000000003,3.516,3.4
1587632026,3.3000000000000003,3.516,3.38
1587632084,3.3000000000000003,3.516,3.388
1587632156,3.3000000000000003,3.516,3.416
1587632213,3.3000000000000003,3.516,3.452
1587632271,3.3000000000000003,3.516,3.456
1587634428,3.3000000000000003,3.516,3.34
1587634485,3.3000000000000003,3.516,3.34
1587634615,3.3000000000000003,3.516,3.344
1587634730,3.3000000000000003,3.516,3.3280000000000003
1587634845,3.3000000000000003,3.516,3.356
1587635262,3.3000000000000003,3.516,3.348
1587635391,3.3000000000000003,3.516,3.368
1587635449,3.3000000000000003,3.516,3.364
1587635507,3.3000000000000003,3.516,3.348
1587635564,3.3000000000000003,3.516,3.356
1587635693,3.3000000000000003,3.516,3.372
1587635751,3.3000000000000003,3.516,3.376
1587635809,3.3000000000000003,3.516,3.376
1587635866,3.3000000000000003,3.516,3.372
1587638023,3.3000000000000003,3.516,3.376
1587638095,3.3000000000000003,3.516,3.364
1587638153,3.3000000000000003,3.516,3.352
1587638325,3.3000000000000003,3.516,3.336
1587640195,3.3000000000000003,3.516,3.344
1587640252,3.3000000000000003,3.516,3.348
1587640310,3.3000000000000003,3.516,3.344
1587640367,3.3000000000000003,3.516,3.34
1587640425,3.3000000000000003,3.516,3.344
1587640482,3.3000000000000003,3.516,3.348
1587640554,3.3000000000000003,3.516,3.352
1587640612,3.3000000000000003,3.516,3.36
1587640669,3.3000000000000003,3.516,3.368
