time,SPAM_Magnitude_X,SPAM_Magnitude_Y,SPAM_Magnitude_Z,SPAM_Off_X_MTQ_X,SPAM_Off_X_MTQ_Y,Dipole_Gain_X
1587814833,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587814891,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587814934,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815006,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815064,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815135,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815179,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815251,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815294,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815366,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815423,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815495,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815553,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815610,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815668,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815912,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587815955,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587816027,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587816085,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587816214,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587818717,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587818788,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820658,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820716,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820773,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820831,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820874,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587820946,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821003,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821075,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821133,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821190,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821248,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821305,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821377,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821420,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821492,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587821535,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824426,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824484,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824555,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824613,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824670,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824714,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824786,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824843,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587824915,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826468,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826526,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826583,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826655,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826698,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826756,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826828,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826885,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587826957,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827015,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827072,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827115,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827187,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827259,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827302,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587827360,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830308,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830366,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830423,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830553,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830610,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830725,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587830783,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832235,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832293,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832350,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832394,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832465,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832523,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832595,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832638,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832696,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832767,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832839,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832882,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832954,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587832998,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587833069,100,100,100,4.178082191780822,-8.123287671232877,1.0
1587833127,100,100,100,4.178082191780822,-8.123287671232877,1.0
